Cien años de soledad; Gabriel García Márquez; Novela
Don Quijote; Miguel de Cervantes; Novela
Harry Potter; J.K. Rowling; Fantasía
El Codigo Davinci; Dan Brown; Thriller
1984; George Orwell; Distopía
El gran Gatsby; F. Scott Fitzgerald; Novela
La Odisea; Homero; Épica
It; Stephen King; Terror
El Principito; Antoine de Saint-Exupéry; Fábula
Hamlet; William Shakespeare; Tragedia
Rayuela; Julio Cortázar; Novela
La divina comedia; Dante Alighieri; Épica
El nombre de la rosa; Umberto Eco; Misterio
Los miserables; Victor Hugo; Novela histórica
Ulises; James Joyce; Novela
Noha; Desconocido; Religión
Origen; Dan Brown; Thriller
Ficciones; Jorge Luis Borges; Cuento
El señor de los anillos; J.R.R. Tolkien; Fantasía
La sombra del viento; Carlos Ruiz Zafón; Misterio
